getpid(), current_time, number, utime, stime, ru_maxrss, ru_msgsnd, ru_msgrcv, ru_nvcsw, ru_nivcsw
19030, 1264542522.589508, 10465001, 0.640385, 0.003259, 192512, 75, 0, 1, 335
19030, 1264542522.593829, 10468001, 0.644680, 0.003272, 192512, 76, 0, 1, 336
19028, 1264542522.593851, 0, 0.001421, 0.005184, 360448, 0, 220, 208, 11
19032, 1264542522.602397, 30271001, 0.590277, 0.001836, 192512, 37, 0, 1, 224
19034, 1264542522.612487, 50235001, 0.633906, 0.002457, 192512, 30, 0, 1, 311
19030, 1264542522.624992, 10476001, 0.655713, 0.003303, 192512, 77, 0, 1, 340
19030, 1264542522.626478, 10477001, 0.657131, 0.003316, 192512, 78, 0, 1, 341
19031, 1264542522.644054, 20352001, 0.645170, 0.002524, 192512, 39, 0, 1, 287
19028, 1264542522.644084, 0, 0.001442, 0.005275, 360448, 0, 225, 213, 11
19033, 1264542522.656955, 40264001, 0.647118, 0.002056, 192512, 37, 0, 1, 254
19032, 1264542522.662334, 30280001, 0.609841, 0.001868, 192512, 38, 0, 1, 228
19034, 1264542522.671640, 50242001, 0.652673, 0.002496, 192512, 31, 0, 1, 317
19030, 1264542522.679281, 10486001, 0.669628, 0.003353, 192512, 79, 0, 1, 345
19033, 1264542522.680442, 40269001, 0.660540, 0.002086, 192512, 38, 0, 1, 257
19028, 1264542522.680467, 0, 0.001462, 0.005323, 360448, 0, 230, 218, 11
19030, 1264542522.683428, 10489001, 0.673728, 0.003370, 192512, 80, 0, 1, 347
19030, 1264542522.686494, 10491001, 0.676769, 0.003383, 192512, 81, 0, 1, 348
19033, 1264542522.692870, 40270001, 0.662876, 0.002106, 192512, 39, 0, 1, 259
19032, 1264542522.693974, 30285001, 0.621331, 0.001890, 192512, 39, 0, 1, 231
19034, 1264542522.697235, 50244001, 0.658127, 0.002514, 192512, 32, 0, 1, 319
19028, 1264542522.697257, 0, 0.001481, 0.005367, 360448, 0, 235, 223, 11
19031, 1264542522.702668, 20367001, 0.673278, 0.002606, 192512, 40, 0, 1, 300
19031, 1264542522.704452, 20368001, 0.675055, 0.002613, 192512, 41, 0, 1, 300
19030, 1264542522.714881, 10497001, 0.685061, 0.003400, 192512, 82, 0, 1, 350
19030, 1264542522.716292, 10498001, 0.686450, 0.003410, 192512, 83, 0, 1, 351
19033, 1264542522.717940, 40276001, 0.677890, 0.002129, 192512, 40, 0, 1, 261
19028, 1264542522.717963, 0, 0.001500, 0.005411, 360448, 0, 240, 228, 11
19031, 1264542522.728983, 20376001, 0.689534, 0.002633, 192512, 42, 0, 1, 302
19030, 1264542522.743203, 10503001, 0.693289, 0.003426, 192512, 84, 0, 1, 353
19032, 1264542522.749188, 30292001, 0.636377, 0.001923, 192512, 40, 0, 1, 236
