Overall totals by port
TOTAL        bytes:    376734980  pkts:    1829725  conns:    98686  tput:      102 B/s
Port  1322   bytes:        17468  pkts:        137  conns:       14  tput:        0 B/s
Port  1323   bytes:        20121  pkts:        162  conns:       16  tput:        0 B/s
Port  1324   bytes:        13063  pkts:         84  conns:        8  tput:        0 B/s
Port  1325   bytes:        17466  pkts:        133  conns:       14  tput:        0 B/s
Port  1326   bytes:         7535  pkts:         68  conns:        9  tput:        0 B/s
Port  1327   bytes:        73379  pkts:        966  conns:       17  tput:        0 B/s
Port  1328   bytes:       174911  pkts:       1485  conns:       10  tput:        0 B/s
Port  1329   bytes:        16533  pkts:        122  conns:       12  tput:        0 B/s
Port  1330   bytes:        54244  pkts:        817  conns:       14  tput:        0 B/s
Port  1331   bytes:         7077  pkts:         46  conns:        5  tput:        0 B/s
Port  1332   bytes:        18996  pkts:        153  conns:       17  tput:        0 B/s
Port  1333   bytes:        75885  pkts:        209  conns:       15  tput:        0 B/s
Port  1334   bytes:        13460  pkts:        103  conns:       12  tput:        0 B/s
Port  1335   bytes:        36232  pkts:        230  conns:       19  tput:        0 B/s
Port  1336   bytes:        34808  pkts:        214  conns:       15  tput:        0 B/s
Port  1337   bytes:        17324  pkts:        151  conns:       17  tput:        0 B/s
Port  1338   bytes:        25247  pkts:        175  conns:       15  tput:        0 B/s
Port  1339   bytes:        23289  pkts:        179  conns:       17  tput:        0 B/s
Port  1340   bytes:        19663  pkts:        162  conns:       20  tput:        0 B/s
Port  1341   bytes:        42204  pkts:        309  conns:       23  tput:        0 B/s
Port  1342   bytes:        17318  pkts:        108  conns:       15  tput:        0 B/s
Port  1343   bytes:        40776  pkts:        263  conns:       22  tput:        0 B/s
Port  1344   bytes:        23405  pkts:        147  conns:       16  tput:        0 B/s
Port  1345   bytes:        29371  pkts:        169  conns:       18  tput:        0 B/s
Port  1346   bytes:        63387  pkts:        142  conns:       14  tput:        0 B/s
Port  1347   bytes:       173562  pkts:        289  conns:       11  tput:        0 B/s
Port  1348   bytes:       123545  pkts:        285  conns:       16  tput:        0 B/s
Port  1349   bytes:       135610  pkts:        273  conns:       22  tput:        0 B/s
